機關名稱,大隊/分類,單位名稱,系統代碼
高雄市政府消防局,局本部,局本部,KH001
高雄市政府消防局,局本部,危險物品管理科,KH002
高雄市政府消防局,局本部,安全衛生督察室,KH003
高雄市政府消防局,局本部,救災救護指揮中心,KH004
高雄市政府消防局,局本部,教育訓練中心,KH005
高雄市政府消防局,局本部,民力運用科,KH006
高雄市政府消防局,局本部,火災調查科,KH007
高雄市政府消防局,局本部,火災預防科,KH008
高雄市政府消防局,局本部,災害搶救科,KH009
高雄市政府消防局,局本部,災害管理科,KH010
高雄市政府消防局,局本部,緊急救護科,KH011
高雄市政府消防局,第一救災救護大隊,大隊本部,KH012
高雄市政府消防局,第一救災救護大隊,專責檢查小組,KH013
高雄市政府消防局,第一救災救護大隊,第一中隊,KH014
高雄市政府消防局,第一救災救護大隊,第二中隊,KH015
高雄市政府消防局,第一救災救護大隊,前金分隊,KH016
高雄市政府消防局,第一救災救護大隊,前鎮分隊,KH017
高雄市政府消防局,第一救災救護大隊,成功分隊,KH018
高雄市政府消防局,第一救災救護大隊,新興分隊,KH019
高雄市政府消防局,第一救災救護大隊,旗津分隊,KH020
高雄市政府消防局,第一救災救護大隊,瑞隆分隊,KH021
高雄市政府消防局,第一救災救護大隊,苓雅分隊,KH022
高雄市政府消防局,第二救災救護大隊,大隊本部,KH023
高雄市政府消防局,第二救災救護大隊,專責檢查小組,KH024
高雄市政府消防局,第二救災救護大隊,第一中隊,KH025
高雄市政府消防局,第二救災救護大隊,第二中隊,KH026
高雄市政府消防局,第二救災救護大隊,中華分隊,KH027
高雄市政府消防局,第二救災救護大隊,十全分隊,KH028
高雄市政府消防局,第二救災救護大隊,大昌分隊,KH029
高雄市政府消防局,第二救災救護大隊,左營分隊,KH030
高雄市政府消防局,第二救災救護大隊,新莊分隊,KH031
高雄市政府消防局,第二救災救護大隊,鼎金分隊,KH032
高雄市政府消防局,第二救災救護大隊,鼓山分隊,KH033
高雄市政府消防局,第三救災救護大隊,大隊本部,KH034
高雄市政府消防局,第三救災救護大隊,專責檢查小組,KH035
高雄市政府消防局,第三救災救護大隊,第一中隊,KH036
高雄市政府消防局,第三救災救護大隊,第二中隊,KH037
高雄市政府消防局,第三救災救護大隊,第三中隊,KH038
高雄市政府消防局,第三救災救護大隊,中庄分隊,KH039
高雄市政府消防局,第三救災救護大隊,五甲分隊,KH040
高雄市政府消防局,第三救災救護大隊,和發分隊,KH041
高雄市政府消防局,第三救災救護大隊,大寮分隊,KH042
高雄市政府消防局,第三救災救護大隊,大林分隊,KH043
高雄市政府消防局,第三救災救護大隊,小港分隊,KH044
高雄市政府消防局,第三救災救護大隊,林園分隊,KH045
高雄市政府消防局,第三救災救護大隊,高桂分隊,KH046
高雄市政府消防局,第三救災救護大隊,鳳山分隊,KH047
高雄市政府消防局,第三救災救護大隊,鳳祥分隊,KH048
高雄市政府消防局,第四救災救護大隊,大隊本部,KH049
高雄市政府消防局,第四救災救護大隊,專責檢查小組,KH050
高雄市政府消防局,第四救災救護大隊,第一中隊,KH051
高雄市政府消防局,第四救災救護大隊,第二中隊,KH052
高雄市政府消防局,第四救災救護大隊,第三中隊,KH053
高雄市政府消防局,第四救災救護大隊,仁武分隊,KH054
高雄市政府消防局,第四救災救護大隊,右昌分隊,KH055
高雄市政府消防局,第四救災救護大隊,大樹分隊,KH056
高雄市政府消防局,第四救災救護大隊,大社分隊,KH057
高雄市政府消防局,第四救災救護大隊,後勁分隊,KH058
高雄市政府消防局,第四救災救護大隊,梓官分隊,KH059
高雄市政府消防局,第四救災救護大隊,楠梓分隊,KH060
高雄市政府消防局,第四救災救護大隊,橋頭分隊,KH061
高雄市政府消防局,第四救災救護大隊,燕巢分隊,KH062
高雄市政府消防局,第四救災救護大隊,鳥松分隊,KH063
高雄市政府消防局,第五救災救護大隊,大隊本部,KH064
高雄市政府消防局,第五救災救護大隊,專責檢查小組,KH065
高雄市政府消防局,第五救災救護大隊,第一中隊,KH066
高雄市政府消防局,第五救災救護大隊,第二中隊,KH067
高雄市政府消防局,第五救災救護大隊,岡山分隊,KH068
高雄市政府消防局,第五救災救護大隊,彌陀分隊,KH069
高雄市政府消防局,第五救災救護大隊,永安分隊,KH070
高雄市政府消防局,第五救災救護大隊,湖內分隊,KH071
高雄市政府消防局,第五救災救護大隊,田寮分隊,KH072
高雄市政府消防局,第五救災救護大隊,茄萣分隊,KH073
高雄市政府消防局,第五救災救護大隊,路竹分隊,KH074
高雄市政府消防局,第五救災救護大隊,阿蓮分隊,KH075
高雄市政府消防局,第六救災救護大隊,大隊本部,KH076
